timestamp,armW,memW,g3dW,kfcW,dumb
1462358102,1.462986,0.151452,0.107695,0.017192,
1462358102,0.048230,0.110584,0.049775,0.022515,
1462358103,0.434112,0.106978,0.030770,0.130900,
1462358103,0.722879,0.149048,0.093009,0.017192,
1462358103,1.165376,0.129816,0.087785,0.017192,
1462358104,0.715617,0.129816,0.054300,0.017192,
1462358104,0.757120,0.129816,0.121270,0.017192,
1462358104,0.212472,0.114190,0.040725,0.017192,
1462358104,0.527040,0.106978,0.024435,0.144145,
1462358105,0.452094,0.104574,0.002718,0.017192,
1462358105,0.256964,0.102170,0.046155,0.017192,
1462358105,0.008199,0.123806,0.071495,0.084240,
1462358106,0.723168,0.134624,0.043440,0.161840,
1462358106,0.796380,0.108180,0.002718,0.017192,
1462358106,0.245616,0.100968,0.002718,0.017192,
1462358106,0.091575,0.103372,0.001810,0.075628,
1462358107,0.671112,0.114190,0.021720,0.139216,
1462358107,0.716906,0.098564,0.002718,0.017192,
1462358107,0.251706,0.123806,0.114935,0.017192,
1462358108,0.008199,0.109382,0.052490,0.025224,
1462358108,0.008199,0.090150,0.002718,0.014175,
1462358108,1.071918,0.117796,0.011778,0.030700,
1462358108,1.004985,0.144240,0.114030,0.017192,
1462358109,0.150822,0.126210,0.051585,0.017192,
1462358109,0.511450,0.114190,0.045250,0.109728,
1462358109,0.832416,0.135826,0.094120,0.017192,
1462358110,1.091961,0.135826,0.083076,0.017192,
1462358110,0.804450,0.120200,0.045250,0.017192,
1462358110,0.519048,0.134624,0.114030,0.017192,
1462358110,0.211564,0.097362,0.035295,0.017192,
1462358111,0.494328,0.118998,0.024435,0.175338,
1462358111,0.609280,0.105776,0.002718,0.017192,
1462358111,0.639304,0.099766,0.002718,0.017192,
1462358112,1.097250,0.137028,0.073143,0.173088,
1462358112,0.484710,0.102170,0.017195,0.017192,
1462358112,0.537300,0.099766,0.002715,0.017192,
1462358112,0.024597,0.098564,0.002718,0.026220,
1462358113,0.626925,0.118998,0.002718,0.186750,
1462358113,0.625515,0.098564,0.020815,0.017192,
1462358113,1.090314,0.116594,0.046155,0.017192,
1462358114,0.108796,0.114190,0.106790,0.017820,
1462358114,0.008199,0.090150,0.017195,0.024570,
1462358114,0.008199,0.106978,0.002718,0.025515,
1462358114,1.085467,0.152654,0.067875,0.017192,
1462358115,0.900640,0.123806,0.095930,0.017192,
1462358115,0.131560,0.121402,0.011765,0.068558,
1462358115,0.757640,0.138230,0.086880,0.080015,
1462358116,1.298297,0.134624,0.098645,0.017192,
1462358116,0.638895,0.134624,0.065016,0.017192,
1462358116,0.950582,0.126210,0.092412,0.017192,
1462358116,0.161298,0.131018,0.085070,0.039360,
1462358117,0.482780,0.103372,0.002715,0.189108,
1462358117,0.598188,0.114190,0.002718,0.017192,
1462358117,0.745446,0.109382,0.002718,0.017192,
1462358118,0.175406,0.109382,0.062445,0.017192,
1462358118,0.793730,0.135826,0.073305,0.153272,
1462358118,0.783430,0.121402,0.024435,0.017192,
1462358118,0.092200,0.091352,0.002718,0.025762,
1462358119,0.785844,0.112988,0.002718,0.139932,
1462358119,0.778869,0.106978,0.019910,0.017192,
1462358119,0.936560,0.103372,0.040725,0.017192,
1462358120,0.140430,0.127412,0.106790,0.019376,
1462358120,0.008199,0.092554,0.013575,0.019845,
1462358120,0.008199,0.091352,0.002718,0.029295,
1462358120,0.647745,0.126210,0.001810,0.131152,
1462358121,1.263211,0.126210,0.056110,0.017192,
1462358121,0.970448,0.140634,0.107695,0.017192,
1462358121,0.261765,0.115392,0.007240,0.100408,
1462358122,1.053592,0.127412,0.096621,0.024560,
1462358122,0.658214,0.122604,0.043440,0.017192,
1462358122,0.816024,0.127412,0.097740,0.017192,
1462358122,0.290160,0.111786,0.069685,0.017192,
1462358123,0.015487,0.106978,0.020815,0.033387,
1462358123,1.289746,0.118998,0.002715,0.147378,
1462358123,1.145214,0.108180,0.002718,0.017192,
1462358124,0.376652,0.117796,0.064255,0.017192,
1462358124,0.105570,0.140634,0.076755,0.123552,
1462358124,0.772768,0.110584,0.023530,0.107097,
1462358124,0.628992,0.110584,0.002718,0.017192,
1462358125,0.217092,0.091352,0.002718,0.017192,
1462358125,0.008199,0.114190,0.002715,0.079926,
1462358125,0.647900,0.097362,0.002718,0.017192,
1462358126,1.099810,0.134624,0.089595,0.017192,
1462358126,0.123660,0.097362,0.069685,0.021186,
1462358126,0.008199,0.088948,0.002715,0.012285,
1462358126,0.008199,0.120200,0.001810,0.025731,
1462358127,0.875292,0.098564,0.001812,0.123420,
1462358127,0.034618,0.088948,0.001810,0.013404,
1462358127,0.008199,0.087746,0.001812,0.014175,
1462358128,0.007288,0.088948,0.001810,0.014175,
1462358128,0.007288,0.088948,0.001812,0.014175,
1462358128,0.007288,0.087746,0.001810,0.013230,
1462358128,0.007288,0.088948,0.001812,0.031449,
1462358129,0.468860,0.102170,0.001810,0.090650,
1462358129,0.296008,0.117796,0.001810,0.017192,
